Lieferant;EAN-Nummer;Bestellnummer;Vorgang;Jahr;Belegnummer;Bezeichnung 2;Liefertermin Belegposition;Artikelnummer;Referenznummer;Artikelmatchcode;Menge Belegposition;<Offene Menge (vorgangsbezogen);ME;Erfüllt Vorgang;Erfüllt Position;Wkz_Wert;Wkz_Bezeichnung;Preiskennzeichen;Besteuerungsart_Wert;Besteuerungsart_Bezeichnung;Artikelgruppe_Wert;Artikelgruppe_Bezeichnung
70001;;60001R0A7#B0;3667;2025;10004;60001R0A7#B0;14.02.2025;102588;;Klappe Komplett, Levante, Circle.Tech;1;1;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;300;Ersatzteile
70001;;60001R0A7#B0;3667;2025;10004;60001R0A7#B0;14.02.2025;102588;;Klappe Komplett, Levante, Circle.Tech;3;3;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;300;Ersatzteile
70001;;6000225A1#N;3674;2025;10011;6000225A1#N;28.02.2025;103103;;Glasscheibe Kochfeld Brera;10;6;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;300;Ersatzteile
70001;;6000225A1#N;3674;2025;10011;6000225A1#N;28.02.2025;103103;;Glasscheibe Kochfeld Brera;1;1;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;300;Ersatzteile
70001;;60000M3C2#X;3682;2025;10013;60000M3C2#X;12.03.2025;100788;;Klappe, Mod Quasar Fasteel, 90cm;1;1;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;300;Ersatzteile
70001;;60000Y7A2#I;3685;2025;10015;60000Y7A2#I;14.03.2025;103820;;Paneel Randabsaugung, Mod Mirabilia;1;1;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;300;Ersatzteile
70001;;105040199;3697;2025;10023;105040199;21.03.2025;100592;;Halogenstrahler, komplett, eckig;10;10;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;300;Ersatzteile
70001;;105080294;3704;2025;10027;105080294;14.03.2025;100637;;Schaltung komplett, Mod Mercurio;5;5;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;300;Ersatzteile
70001;8,03412E+12;CLEW90.E3P2#EUN490F;3723;2025;10043;Induktionskochfeld mit Absaugung 89x52cm -800m/h;26.03.2025;103379;;LEVEL ONE 90;3;3;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;51;Muldenlüfter
70001;;101290503;3728;2025;10048;50001Y140#N;02.05.2025;102634;;Lichtabdeckung seitlich, Mod Light;1;1;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;300;Ersatzteile
70001;8,03412E+12;CSWN54.E0P7#ZZZE461F;3730;2025;10049;Circle.Tech - Inselhaube - 600m³/h;14.04.2025;101916;;SOPHIE IS 54CM - MESSING ANTIK;1;1;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;190;Circle.Tech
70001;8,03412E+12;CPLN90.E23P2#ZZZN490F;3731;2025;10050;Wandhaube 90 cm Schwarz;28.04.2025;103216;;PLANE (PLUS) W 90 SCHWARZ;4;4;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;150;Design
70001;;30506025F#46;3743;2025;10059;30506025F#46 ersetzt durch 10506070T#46;16.05.2025;101825;;Gebläse, Kunststoff, 600m³/h, Virgola;5;5;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;300;Ersatzteile
70001;8034122713656#;KACL.457#NF;3745;2025;10153;KACL.457#NF;16.05.2025;102958;;Glasrahmen weiß Verso 55 Evo;1;1;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;300;Ersatzteile
70001;;60001I0B6#F;3743;2025;10059;60001I0B6#F;16.05.2025;103828;;Glasrahmen weiß Verso 55 Evo;1;1;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;300;Ersatzteile
70001;;60001I0B6#F;3743;2025;10059;60001I0B6#F;16.05.2025;103828;;Glasrahmen weiß Verso 55 Evo;5;3;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;300;Ersatzteile
70001;;30506025F#46;3743;2025;10059;30506025F#46 ersetzt durch 10506070T#46;16.05.2025;101825;;Gebläse, Kunststoff, 600m³/h, Virgola;5;5;Stk;Nein;Nein;EUR;Euro;Netto;2;EU mit UStID;300;Ersatzteile
